타임스탬프,1. 연령대가 어떻게 되시나요?,2. 성별은 어떻게 되시나요?,3. 대학교 재학중이신가요?,4. 주로 사용하는 어플리케이션 종류는 무엇인가요?(복수선택 가능),5. 선택한 어플리케이션의 사용시간은 어느 정도인가요?,6. 주로 시청하는 콘텐츠의 종류는 무엇인가요?(복수선택 가능),7. 선택한 콘텐츠의 종류 중 최근에 가장 인상깊게 시청한 영상을 소개해주세요.,8. 최근 3개월 동안 SNS에 게시물을 몇 회 이상 업로드하셨나요?,9. 자신이 등장하는 영상이나 사진 찍는 것을 좋아하시나요?,10. 이유는 무엇인가요?,11. 자신이 등장하는 영상이나 사진을 누구에게 공유하시나요?,12. 공유 경로는 어떻게 하시나요?,13. 내 모습을 바꿀 수 있다면 어떻게 바꾸고 싶은가요?,14. 내 모습을 바꿔서 무엇을 해보고 싶은가요?,15. '음악'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),16. '일상'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),17. '코미디'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),18. '댄스'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),19. '영화/드라마'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),20. '엔터테인먼트/연예인'에서 가장 흥미로운 주제는 무엇인가요?(복수 선택 가능),21. '애니메이션'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능)
4-12-2022 14:17:17,20대,남자,O,OTT,일일 1시간 이내,일상,2521,월 1회 이상,그렇다,-,친한 친구에게만,카카오톡,-,-,노래모음,"다양한 환경 체험, 각종 지식, 정보 이야기하기",밈,일반인 댄스,영화/드라마 리뷰 또는 소개,인기 연예인과 함께 출연하기,코스프레
4-11-2022 19:02:17,20대,남자,O,"OTT, 영상",일일 3~6시간,"음악, 코미디, 영화, 스포츠",ufc,없음,보통이다,.,친한 친구에게만,카카오톡,.,.,노래모음,요리,"꽁트, 엽기적인 영상",춤 연습,명대사 따라하기,인기 연예인과 함께 출연하기,따라하기
4-11-2022 23:09:02,20대,남자,O,"SNS, OTT, 영상",일일 3~6시간,"음악, 코미디, 일상, 예능",일상,월 1회 이상,그렇다,흔적을 남기는 느낌이라,지인에게만,인스타그램,.,.,"원하는 외모와 목소리로 노래하기, 라이브로 실시간 공연, 악기 연주","다양한 환경 체험, 요리, 다양한 팁, 각종 지식, 정보 이야기하기","꽁트, 밈, 공감되는 영상, 기획 프로그램(가짜사나이, 머니게임 등)","춤 연습, 스트릿 댄스, 콜라보","영화/드라마 속 인물이 되어보기, 영화/드라마 리뷰 또는 소개, 비하인드 스토리","인기 연예인과 함께 출연하기, 유명인의 패션 ,헤어,메이크업 체험하기, 유명인의 V-LOG, 합방",코스프레
4-12-2022 17:39:08,20대,남자,O,"SNS, 영상",일일 1시간 이내,"음악, 일상, 영화, 스포츠",이스타티비(축구영상),없음,그렇지 않다,딱히 필요성을 못느껴서,지인에게만,인스타그램,....더 키가 크게?,큰 키로 축구할 때 헤딩?,커버 곡,"각종 지식, 정보 이야기하기, 운동, 평소에 보여주지 못 한 모습 보여주기","꽁트, 밈, 공감되는 영상",무대에 서기,"영화/드라마 리뷰 또는 소개, 비하인드 스토리",딱히 없음,딱히 없음
4-11-2022 18:40:27,30대,남자,X,영상,일일 1~3시간,스포츠,FC AWAY 경기 영상,없음,매우 그렇지 않다,사진이 내 얼굴을 담지 못함.,지인에게만,카카오톡,10년 전 내 모습,축구,원곡 그대로 듣기,운동,밈,스트릿 댄스,"명대사 따라하기, 패건들지마 손모가지 날아가붕게","유명인의 패션 ,헤어,메이크업 체험하기","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-12-2022 15:48:14,20대,남자,O,"SNS, 영상",일일 1~3시간,"음악, 코미디",ufc 페더급 타이틀전 정찬성 vs 볼카노프스키 ,월 1회 이상,그렇다,기록,지인에게만,인스타그램,골격근량 45kg,3대 500,"원하는 외모와 목소리로 노래하기, 듀엣, 악기 연주","요리, 각종 지식, 정보 이야기하기, 운동","꽁트, 밈",스트릿 댄스,명대사 따라하기,유명인 되어보기,코스프레
4-11-2022 21:03:30,20대,여자,O,"SNS, OTT, 영상",일일 1~3시간,"일상, 영화, 예능",하버드 대학생의 하루,월 1회 이상,그렇다,사진이 잘 나오면 자랑하고 싶어요,지인에게만,인스타그램,교정 초기로 바꾸고 싶어요,딱히 없어요,"원하는 외모와 목소리로 노래하기, 라이브로 실시간 공연, 커버 곡, 노래모음","다양한 환경 체험, 다양한 팁, 각종 지식, 정보 이야기하기, 평소에 보여주지 못 한 모습 보여주기","엽기적인 영상, 밈, 공감되는 영상","무대에 서기, 스트릿 댄스, 콜라보","영화/드라마 속 인물이 되어보기, 영화/드라마 리뷰 또는 소개, 비하인드 스토리","유명인 되어보기, 인기 연예인과 함께 출연하기, 유명인의 패션 ,헤어,메이크업 체험하기, 유명인의 V-LOG, 합방","따라하기, 특정 애니메이션에 내가 원하는 목소리, 대사 적용하기, 코스프레"
4-12-2022 18:33:57,20대,남자,O,"SNS, 영상, 금융",일일 1~3시간,"음악, 예능",빵집탐방 및 빵 먹방,주 1회 이상,보통이다,인스타그램에 일상을 가끔 올린다. 일상공유 차원인 것 같다.,지인에게만,인스타그램,귀여운 동물 캐릭터로,내 모습을 제외한 내가 경험하고 있는 주변의 것들만 공유하기,"악기 연주, 커버 곡","요리, 다양한 팁, 각종 지식, 정보 이야기하기","공감되는 영상, 기획 프로그램(가짜사나이, 머니게임 등)",스트릿 댄스,"영화/드라마 리뷰 또는 소개, 비하인드 스토리",유명인의 V-LOG,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 18:50:22,20대,여자,O,"게임, SNS, OTT, 영상, 금융, 쇼핑",일일 1~3시간,"음악, 댄스, 코미디, 일상, 영화, 예능",틱톡에서 도마뱀이 곤충먹는 영상,없음,그렇지 않다,노관심,친한 친구에게만,인스타그램,귀엽고 깜찍하게ㅋㅋㅋㅋ,킹카가 되야지 ㅋㅋㅋㅋㅋ,"원하는 외모와 목소리로 노래하기, 듀엣, 악기 연주, 커버 곡, 노래모음","다양한 환경 체험, 요리","꽁트, 엽기적인 영상, 몰래카메라, 기획 프로그램(가짜사나이, 머니게임 등)","춤 연습, 무대에 서기, 같이 춤추기, 스트릿 댄스, 콜라보, 일반인 댄스",비하인드 스토리,인기 연예인과 함께 출연하기,따라하기
4-11-2022 18:57:58,20대,남자,O,"게임, SNS, 영상",일일 3~6시간,"스포츠, 예능",이스타티비 퀴즈쇼,없음,매우 그렇지 않다,내가 나오는걸 보기가 싫어서 안 올립니다,친한 친구에게만,카카오톡,그냥 평균정도로만 생겼으면 좋겠습니다,연애…?,"라이브로 실시간 공연, 노래모음",운동,"슬랩스틱, 밈","무대에 서기, 일반인 댄스","영화/드라마 리뷰 또는 소개, 비하인드 스토리","유명인의 V-LOG, 합방",잘 모르겠습니다
